id,room_description,room_photo_url,room_price,room_type
2,"A minimalist, light-filled family room featuring warm wood accents, a cozy fireplace, and a spacious lounge area perfect for stylish relaxation.",https://res.cloudinary.com/bbtt-resort/image/upload/v1776732623/roqhpxlrdctxcpqrftln.jpg,600.00,Family
3,"A sleek featuring separate living and sleeping areas, premium amenities, and abundant natural light for a sophisticated stay.",https://res.cloudinary.com/bbtt-resort/image/upload/v1775916658/g5bdaotj33zbpjypzmer.jpg,150.00,Suit
4,"A chic and elegant two-room suite featuring a comfortable living area with city views, and a private bedroom with a plush king bed, creating a sophisticated city retreat.",https://res.cloudinary.com/bbtt-resort/image/upload/v1775916776/sare6a9jm2glsxvb33gv.jpg,400.00,Suit
5,"The ultimate in luxury on a palatial scale. This magnificent suite’s opulence, space and amenities",https://res.cloudinary.com/bbtt-resort/image/upload/v1776160466/qjcnsvzazlhjjxd9cacq.jpg,2500.00,Precidential
6,"A bright, modern studio apartment featuring an efficient open-concept layout with floor-to-ceiling windows and chic, contemporary furnishings.",https://res.cloudinary.com/bbtt-resort/image/upload/v1776694251/pjgkm6ftuvspgzpss7sx.jpg,60.00,Studio
7,"A cozy and practical Standard Room featuring modern wood accents and essential amenities.",https://res.cloudinary.com/bbtt-resort/image/upload/v1776694779/kszpegsbd0ofmykyexqi.jpg,40.00,Standrad
9,"An elegant, vaulted-ceiling Family Suite with a classic fireplace and garden views",https://res.cloudinary.com/bbtt-resort/image/upload/v1776732133/lppyoj7hycjdciwuemty.webp,350.00,Family
10,"A cozy, Scandi-style Family Living Room featuring a wood-burning stove and bright, artistic decor.",https://res.cloudinary.com/bbtt-resort/image/upload/v1776732732/huz4rmerdfp7gw8dvgg3.jpg,200.00,Family
12,"A sophisticated Executive Room with twin beds, a stylish lounge area, and panoramic city views",https://res.cloudinary.com/bbtt-resort/image/upload/v1776733044/ote7wqddpjp7e4jsar2t.webp,250.00,Executive
13,"A classic King Guest Room featuring a plush king-sized bed and a modern workspace.",https://res.cloudinary.com/bbtt-resort/image/upload/v1776733403/y4l63zkbjmtqqi2mcpey.jpg,120.00,King
14,"An exquisite Presidential Suite featuring a classic fireplace, a dedicated study, and regal decor.",https://res.cloudinary.com/bbtt-resort/image/upload/v1776733577/mstzrv0zzomvxkxyxrog.webp,3500.00,Precidential
15,"A minimalist and bright Studio Apartment featuring a compact open layout with a balcony and natural wood accents",https://res.cloudinary.com/bbtt-resort/image/upload/v1777298631/o0jmtovgzdb0an4xnxgb.jpg,65.00,Studio
16,"A majestic Presidential Bedroom with opulent Asian-inspired decor and stunning city skyline views",https://res.cloudinary.com/bbtt-resort/image/upload/v1777299103/ayfmpeulvjzboj2hbh6u.jpg,5000.00,Precidential
17,"An opulent Presidential Suite with a breathtaking oceanfront balcony and vibrant coastal decor",https://res.cloudinary.com/bbtt-resort/image/upload/v1777299165/xeesuvrwzdo7jucgifqe.webp,8000.00,Precidential
18,"A spacious Presidential Twin Suite featuring elegant wallpaper accents and a scenic forest view",https://res.cloudinary.com/bbtt-resort/image/upload/v1777299237/u8yrrnwb6kzihqgeipub.jpg,1500.00,Precidential
19,"A luxurious Presidential Bedroom with a private terrace and sophisticated earth-toned decor",https://res.cloudinary.com/bbtt-resort/image/upload/v1777299336/appmmvyha1evwuqmcexc.jpg,2200.00,Precidential
20,"A practical Queen Double Room featuring two comfortable beds and a functional workspace",https://res.cloudinary.com/bbtt-resort/image/upload/v1777299499/wpy7jhh2uiguqte4nca1.jpg,190.00,Queen
21,"A stylish Deluxe Queen Room with elegant navy accents and a compact, modern layout",https://res.cloudinary.com/bbtt-resort/image/upload/v1777299717/s5yfmzd3y1syrx3njzxh.webp,170.00,Queen
22,"A chic and compact Boutique Queen Room with a minimalist wood platform bed and floor-to-ceiling city views",https://res.cloudinary.com/bbtt-resort/image/upload/v1777299776/w4sjtgkek2sitp8tjo6g.jpg,280.00,Queen
23,"A serene Deluxe King Room featuring intricate traditional wood lattice headboards and a warm, Zen-inspired atmosphere",https://res.cloudinary.com/bbtt-resort/image/upload/v1777299915/bcrfbw0hltfjq40va6tu.jpg,130.00,King
24,"An elegant Classic King Room with a majestic crystal chandelier and refined vintage furnishings",https://res.cloudinary.com/bbtt-resort/image/upload/v1777300067/rqc3wecguj0e8isijk4n.jpg,280.00,King
25,"A moody and artistic Executive King Room with a tufted headboard, dramatic dark wood accents, and a custom ceiling fresco",https://res.cloudinary.com/bbtt-resort/image/upload/v1777300208/irqxks85xkj8jwf2jsmw.jpg,380.00,Executive
26,"An elegant Executive City Twin with a sophisticated cream palette and expansive harbor views",https://res.cloudinary.com/bbtt-resort/image/upload/v1777300379/pez0qgpaiypif5uafigk.jpg,220.00,Executive
27,"A sleek and contemporary Standard Twin Room with warm wood paneling and elegant backlit marble accents",https://res.cloudinary.com/bbtt-resort/image/upload/v1777300530/by3tevzfoshirjapaq0f.jpg,90.00,Standrad
28,"A modern and functional Standard Twin Room with a dedicated workspace and pleasant riverside views",https://res.cloudinary.com/bbtt-resort/image/upload/v1777300614/ncovldbgsrfplm7omka3.webp,100.00,Standrad
29,"A breathtaking Luxury Pool Villa with a private tropical gazebo and direct ocean views",https://res.cloudinary.com/bbtt-resort/image/upload/v1777300885/zcxogofkvccpawderrd0.jpg,1200.00,Bali
30,"A sophisticated Luxury Oceanfront Suite with a seamless indoor-outdoor flow and private infinity pool access",https://res.cloudinary.com/bbtt-resort/image/upload/v1777300965/b5rmvrkglqfpdiyumfsw.webp,1400.00,Bali
31,"A vibrant Deluxe Pool View Twin with warm mahogany accents and direct sliding-door access to the resort's lagoon",https://res.cloudinary.com/bbtt-resort/image/upload/v1777301047/zyb9hgunypkywwur7tst.jpg,450.00,Bali
